iter	Passed	Remaining
0	1	142
1	2	126
2	3	123
3	4	112
4	5	113
5	7	112
6	8	111
7	9	109
8	10	108
9	12	108
10	13	109
11	14	108
12	15	106
13	17	104
14	18	103
15	19	101
16	20	99
17	21	98
18	22	96
19	23	95
20	25	94
21	26	94
22	27	93
23	29	92
24	30	90
25	31	89
26	32	87
27	33	86
28	34	84
29	35	82
30	36	81
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	44	69
39	45	68
40	46	66
41	46	64
42	47	63
43	48	62
44	49	60
45	50	59
46	51	58
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	43
59	64	42
60	65	41
61	66	40
62	67	39
63	67	38
64	69	37
65	69	36
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	22
78	82	21
79	82	20
80	84	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
